filename,folder,label,character,source,model
Test/digit_0/103277.png,digit_0,0,०,original,na
Test/digit_0/103281.png,digit_0,0,०,original,na
Test/digit_0/103309.png,digit_0,0,०,original,na
Test/digit_0/103311.png,digit_0,0,०,original,na
Test/digit_0/103322.png,digit_0,0,०,original,na
Test/digit_0/103325.png,digit_0,0,०,original,na
Test/digit_0/103340.png,digit_0,0,०,original,na
Test/digit_0/103343.png,digit_0,0,०,original,na
Test/digit_0/103358.png,digit_0,0,०,original,na
Test/digit_0/103366.png,digit_0,0,०,original,na
Test/digit_0/103369.png,digit_0,0,०,original,na
Test/digit_0/103372.png,digit_0,0,०,original,na
Test/digit_0/103380.png,digit_0,0,०,original,na
Test/digit_0/103386.png,digit_0,0,०,original,na
Test/digit_0/103396.png,digit_0,0,०,original,na
Test/digit_0/103398.png,digit_0,0,०,original,na
Test/digit_0/103401.png,digit_0,0,०,original,na
Test/digit_0/103404.png,digit_0,0,०,original,na
Test/digit_0/103414.png,digit_0,0,०,original,na
Test/digit_0/103421.png,digit_0,0,०,original,na
Test/digit_0/103424.png,digit_0,0,०,original,na
Test/digit_0/103425.png,digit_0,0,०,original,na
Test/digit_0/103427.png,digit_0,0,०,original,na
Test/digit_0/103439.png,digit_0,0,०,original,na
Test/digit_0/12286.png,digit_0,0,०,original,na
Test/digit_0/12296.png,digit_0,0,०,original,na
Test/digit_0/12305.png,digit_0,0,०,original,na
Test/digit_0/12313.png,digit_0,0,०,original,na
Test/digit_0/12314.png,digit_0,0,०,original,na
Test/digit_0/12333.png,digit_0,0,०,original,na
Test/digit_0/12346.png,digit_0,0,०,original,na
Test/digit_0/12348.png,digit_0,0,०,original,na
Test/digit_0/12350.png,digit_0,0,०,original,na
Test/digit_0/12352.png,digit_0,0,०,original,na
Test/digit_0/12358.png,digit_0,0,०,original,na
Test/digit_0/12376.png,digit_0,0,०,original,na
Test/digit_0/12385.png,digit_0,0,०,original,na
Test/digit_0/12388.png,digit_0,0,०,original,na
Test/digit_0/12391.png,digit_0,0,०,original,na
Test/digit_0/12392.png,digit_0,0,०,original,na
Test/digit_0/13438.png,digit_0,0,०,original,na
Test/digit_0/18494.png,digit_0,0,०,original,na
Test/digit_0/18506.png,digit_0,0,०,original,na
Test/digit_0/18517.png,digit_0,0,०,original,na
Test/digit_0/18528.png,digit_0,0,०,original,na
Test/digit_0/18532.png,digit_0,0,०,original,na
Test/digit_0/18534.png,digit_0,0,०,original,na
Test/digit_0/18547.png,digit_0,0,०,original,na
Test/digit_0/18549.png,digit_0,0,०,original,na
Test/digit_0/22752.png,digit_0,0,०,original,na
Test/digit_0/22760.png,digit_0,0,०,original,na
Test/digit_0/22763.png,digit_0,0,०,original,na
Test/digit_0/28805.png,digit_0,0,०,original,na
